od_id,station,station_line,station_lon,station_lat,facility_source,facility_name,facility_address,facility_lon,facility_lat,straight_line_distance_m,geometry,station_node,facility_node,station_snap_distance_m,facility_snap_distance_m,snap_status
od_1291,응암,6호선,126.915577,37.598605,mobility_facility,가나공인중개사사무소,서울특별시 은평구 백련산로 36,126.9229,37.5881,1333.295,POINT (126.9229 37.5881),8735757178,3811066701,11.20363638320314,42.663173852735554,PASS
od_1887,녹번,3호선,126.935756,37.600927,mobility_facility,올레공인중개사사무소,서울특별시 은평구 불광로 64,126.9322,37.6126,1333.082,POINT (126.9322 37.6126),436867704,4580205470,5.477178362551235,22.90326221742574,PASS
od_1099,불광,6호선,126.92939,37.610873,pedestrian_support_point,미주아트빌,서울특별시 은평구 구산동  22-13,126.9149,37.6075,1333.064,POINT (126.9149 37.6075),5930698997,3820984136,11.603222454866666,15.584000617314647,PASS
od_1178,불광,6호선,126.92939,37.610873,pedestrian_support_point,맨홀,서울특별시 은평구 연서로9길 5-5,126.9151,37.607,1332.976,POINT (126.9151 37.607),5930698997,10789210633,11.603222454866666,24.834861458125534,PASS
od_2314,불광,3호선,126.92982,37.610553,mobility_facility,계절의별미탕,서울특별시 은평구 진흥로1길 25,126.9184,37.6027,1332.86,POINT (126.9184 37.6027),5930698997,4583513366,50.209801741355435,17.722387983378013,PASS
od_2007,녹번,3호선,126.935756,37.600927,pedestrian_support_point,빗물받이,서울특별시 은평구 응암동  225-146,126.9231,37.5944,1331.894,POINT (126.9231 37.5944),436867704,3811326361,5.477178362551235,21.671608494151926,PASS
od_2533,불광,3호선,126.92982,37.610553,pedestrian_support_point,맨홀,서울특별시 은평구 불광로 179-6,126.9312,37.6225,1331.575,POINT (126.9312 37.6225),5930698997,436849329,50.209801741355435,4.783892591187977,PASS
od_2358,불광,3호선,126.92982,37.610553,pedestrian_support_point,빗물받이,서울특별시 은평구 불광동  177-21,126.9312,37.6225,1331.575,POINT (126.9312 37.6225),5930698997,436849329,50.209801741355435,4.783892591187977,PASS
od_2593,불광,3호선,126.92982,37.610553,pedestrian_support_point,불광중학교,서울특별시 은평구 불광로 179,126.9311,37.6225,1330.796,POINT (126.9311 37.6225),5930698997,436849329,50.209801741355435,8.332210614892231,PASS
od_1546,응암,6호선,126.915577,37.598605,pedestrian_support_point,빗물받이,서울특별시 은평구 녹번동  79-21,126.9301,37.6018,1330.608,POINT (126.9301 37.6018),8735757178,2309932442,11.20363638320314,25.12592144039798,PASS
od_998,불광,6호선,126.92939,37.610873,pedestrian_support_point,빗물받이,서울특별시 은평구 불광동  172-2,126.9308,37.6228,1329.61,POINT (126.9308 37.6228),5930698997,3823587658,11.603222454866666,22.807559153553946,PASS
od_2201,불광,3호선,126.92982,37.610553,mobility_facility,푸르지오공인중개사사무소,서울특별시 은평구 연서로 78,126.9158,37.6062,1328.87,POINT (126.9158 37.6062),5930698997,10789210638,50.209801741355435,29.96655925863777,PASS
od_564,독바위,6호선,126.933031,37.618456,mobility_facility,메디알레소망공인중개사사무소,서울특별시 은평구 서오릉로8길 23,126.9238,37.609,1328.808,POINT (126.9238 37.609),3824954278,3004846056,2.93341759236071,12.20580599543036,PASS
