od_id,station,station_line,station_lon,station_lat,facility_source,facility_name,facility_address,facility_lon,facility_lat,straight_line_distance_m,station_node,facility_node,station_snap_distance_m,facility_snap_distance_m,snap_status,route_id,route_type,node_count,route_length_m,steps_count,flood_feature_count_2022,flood_overlap_length_m_2022,flood_feature_count_2023,flood_overlap_length_m_2023,flood_feature_count_2024,flood_overlap_length_m_2024,flood_feature_count_2025,flood_overlap_length_m_2025,flood_feature_count_unique_total,flood_overlap_length_m_total,flood_overlap_ratio,mobility_facility_count_near_route,support_point_count_near_route,existing_safe_route_overlap_or_proximity_count,baseline_distance,alternative_distance,distance_delta_m,distance_delta_ratio,baseline_flood_overlap_m,alternative_flood_overlap_m,flood_overlap_reduction_m,flood_overlap_reduction_ratio,historical_flood_trace_avoiding_candidate
od_2889,연신내,3호선,126.921038,37.619229,pedestrian_support_point,역촌,서울특별시 은평구 서오릉로 63,126.923,37.6059,1489.483,13357342120,8460926747,32.16422242836125,17.73207227050489,PASS,od_2889_baseline,baseline,47,1702.881,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,12,14,28,1702.881,,0.0,0.0,0.0,,0.0,0.0,False
od_2889,연신내,3호선,126.921038,37.619229,pedestrian_support_point,역촌,서울특별시 은평구 서오릉로 63,126.923,37.6059,1489.483,13357342120,8460926747,32.16422242836125,17.73207227050489,PASS,od_2889_alternative_1,alternative_1,48,1704.084,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,12,14,28,1702.881,1704.084,1.203,0.000706,0.0,0.0,0.0,,False
od_289,연신내,6호선,126.920625,37.618636,pedestrian_support_point,역촌역,서울특별시 은평구 서오릉로 63,126.9234,37.6055,1478.399,11230505686,3811092420,20.028299588559467,15.524672982041224,PASS,od_289_baseline,baseline,48,1694.972,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,6,17,23,1694.972,,0.0,0.0,0.0,,0.0,0.0,False
od_289,연신내,6호선,126.920625,37.618636,pedestrian_support_point,역촌역,서울특별시 은평구 서오릉로 63,126.9234,37.6055,1478.399,11230505686,3811092420,20.028299588559467,15.524672982041224,PASS,od_289_alternative_1,alternative_1,49,1696.175,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,6,17,23,1694.972,1696.175,1.203,0.00071,0.0,0.0,0.0,,False
od_2929,연신내,3호선,126.921038,37.619229,pedestrian_support_point,불광역3호선.서울혁신파크,서울특별시 은평구 진흥로 200,126.9316,37.6087,1495.075,13357342120,11204976882,32.16422242836125,1.9067441159293512,PASS,od_2929_baseline,baseline,29,1526.475,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,7,31,30,1526.475,,0.0,0.0,0.0,,0.0,0.0,False
od_2949,연신내,3호선,126.921038,37.619229,pedestrian_support_point,맨홀,서울특별시 은평구 진흥로 192,126.9313,37.6087,1478.699,13357342120,11178032846,32.16422242836125,4.908142702803897,PASS,od_2949_baseline,baseline,31,1517.883,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,8,28,30,1517.883,,0.0,0.0,0.0,,0.0,0.0,False
od_2986,연신내,3호선,126.921038,37.619229,pedestrian_support_point,맨홀,서울특별시 은평구 연서로9길 5-5,126.9151,37.6068,1475.753,13357342120,10789210633,32.16422242836125,3.304144455211579,PASS,od_2986_baseline,baseline,39,1519.783,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,11,45,31,1519.783,,0.0,0.0,0.0,,0.0,0.0,False
od_2986,연신내,3호선,126.921038,37.619229,pedestrian_support_point,맨홀,서울특별시 은평구 연서로9길 5-5,126.9151,37.6068,1475.753,13357342120,10789210633,32.16422242836125,3.304144455211579,PASS,od_2986_alternative_1,alternative_1,40,1524.931,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,9,43,31,1519.783,1524.931,5.148,0.003387,0.0,0.0,0.0,,False
od_2986,연신내,3호선,126.921038,37.619229,pedestrian_support_point,맨홀,서울특별시 은평구 연서로9길 5-5,126.9151,37.6068,1475.753,13357342120,10789210633,32.16422242836125,3.304144455211579,PASS,od_2986_alternative_2,alternative_2,38,1527.394,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,13,45,31,1519.783,1527.394,7.611,0.005008,0.0,0.0,0.0,,False
od_3030,연신내,3호선,126.921038,37.619229,pedestrian_support_point,역촌역,서울특별시 은평구 서오릉로 63,126.923,37.606,1478.46,13357342120,8460926747,32.16422242836125,11.080562328111156,PASS,od_3030_baseline,baseline,47,1702.881,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,12,14,28,1702.881,,0.0,0.0,0.0,,0.0,0.0,False
od_3030,연신내,3호선,126.921038,37.619229,pedestrian_support_point,역촌역,서울특별시 은평구 서오릉로 63,126.923,37.606,1478.46,13357342120,8460926747,32.16422242836125,11.080562328111156,PASS,od_3030_alternative_1,alternative_1,48,1704.084,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,12,14,28,1702.881,1704.084,1.203,0.000706,0.0,0.0,0.0,,False
od_3031,연신내,3호선,126.921038,37.619229,pedestrian_support_point,불광역.불광1동주민센터,서울특별시 은평구 진흥로 215,126.9326,37.6095,1485.954,13357342120,10678122723,32.16422242836125,30.528958244749028,PASS,od_3031_baseline,baseline,30,1584.894,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,8,32,31,1584.894,,0.0,0.0,0.0,,0.0,0.0,False
od_3031,연신내,3호선,126.921038,37.619229,pedestrian_support_point,불광역.불광1동주민센터,서울특별시 은평구 진흥로 215,126.9326,37.6095,1485.954,13357342120,10678122723,32.16422242836125,30.528958244749028,PASS,od_3031_alternative_1,alternative_1,31,1586.773,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,9,31,32,1584.894,1586.773,1.879,0.001186,0.0,0.0,0.0,,False
od_31,연신내,6호선,126.920625,37.618636,mobility_facility,정혜영헤어큐,"서울특별시 은평구 진관1로 21-9, 106동 (진관동, 은평뉴타운 박석고개)",126.921,37.6321,1494.729,11230505686,11150009642,20.028299588559467,20.367148514425438,PASS,od_31_baseline,baseline,26,1773.485,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,16,31,18,1773.485,,0.0,0.0,0.0,,0.0,0.0,False
