"od","route_role","origin","destination","through_station","station_sequence","station_line_sequence","line_sequence","total_distance","totalReqHr_raw","transfer_count","segment_count","flood_unique_total","flood_station_sum","flood_duplicates_removed","missing_elevator_station_count","all_stations_have_elevator","mobility_facility_count","pedestrian_safe_route_linestring_count","pedestrian_support_point_count","distance_delta","req_hr_raw_delta","flood_unique_reduction","valid_moveon_alternative"
"연신내->녹번","alternative","연신내","녹번","응암","연신내>구산>응암>새절>증산>디지털미디어시티>월드컵경기장>마포구청>망원>합정>합정>홍대입구>신촌>이대>아현>충정로>시청>을지로입구>을지로3가>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번","6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선","6호선>2호선>3호선","24331","2432","2","26","91","91","0","24","False","56","78","88","21931","2252","3","False"
"연신내->독바위","baseline","연신내","독바위",,"연신내>불광>불광>독바위","3호선>3호선>6호선>6호선","3호선>6호선","2300","408","1","3","137","160","23","0","True","66","81","154",,,,
"연신내->독바위","alternative","연신내","독바위","녹번","연신내>불광>녹번>홍제>무악재>독립문>경복궁>안국>종로3가>을지로3가>충무로>충무로>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광>불광>독바위","3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>6호선>6호선","3호선>6호선","21700","2022","2","22","140","189","49","16","False","109","174","238","19400","1614","-3","False"
"연신내->독바위","alternative","연신내","독바위","응암","연신내>구산>응암>새절>증산>디지털미디어시티>월드컵경기장>마포구청>망원>합정>합정>홍대입구>신촌>이대>아현>충정로>시청>을지로입구>을지로3가>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광>불광>독바위","6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>6호선>6호선","6호선>2호선>3호선","26431","2834","3","29","160","183","23","24","False","98","140","199","24131","2426","-23","False"
"연신내->불광","baseline","연신내","불광",,"연신내>불광","3호선>3호선","3호선","1300","90","0","1","91","91","0","0","True","43","44","91",,,,
"연신내->불광","alternative","연신내","불광","녹번","연신내>불광>녹번>홍제>무악재>독립문>경복궁>안국>종로3가>을지로3가>충무로>충무로>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광","3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선","3호선","20700","1710","1","20","94","120","26","16","False","86","137","175","19400","1620","-3","False"
"연신내->불광","alternative","연신내","불광","독바위","연신내>불광>불광>독바위>연신내>연신내>불광","3호선>3호선>6호선>6호선>6호선>3호선>3호선","3호선>6호선","5181","975","2","6","142","321","179","0","True","134","144","291","3881","885","-51","False"
"연신내->불광","alternative","연신내","불광","응암","연신내>구산>응암>새절>증산>디지털미디어시티>월드컵경기장>마포구청>망원>합정>합정>홍대입구>신촌>이대>아현>충정로>시청>을지로입구>을지로3가>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광","6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선","6호선>2호선>3호선","25431","2522","2","27","114","114","0","24","False","75","103","136","24131","2432","-23","False"
"연신내->응암","baseline","연신내","응암",,"연신내>구산>응암","6호선>6호선>6호선","6호선","2400","200","0","2","88","88","0","1","False","44","44","70",,,,
"연신내->응암","alternative","연신내","응암","녹번","연신내>불광>녹번>홍제>무악재>독립문>경복궁>안국>종로3가>을지로3가>충무로>충무로>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광>불광>독바위>연신내>구산>응암","3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>6호선>6호선>6호선>6호선>6호선","3호선>6호선","25500","2352","2","25","163","277","114","17","False","153","218","308","23100","2152","-75","False"
"연신내->응암","alternative","연신내","응암","독바위","연신내>불광>불광>독바위>연신내>구산>응암","3호선>3호선>6호선>6호선>6호선>6호선>6호선","3호선>6호선","6100","738","1","6","160","248","88","1","False","110","125","224","3700","538","-72","False"
"연신내->응암","alternative","연신내","응암","불광","연신내>불광>불광>독바위>연신내>구산>응암","3호선>3호선>6호선>6호선>6호선>6호선>6호선","3호선>6호선","6100","738","1","6","160","248","88","1","False","110","125","224","3700","538","-72","False"
"응암->녹번","baseline","응암","녹번",,"응암>새절>증산>디지털미디어시티>월드컵경기장>마포구청>망원>합정>합정>홍대입구>신촌>이대>아현>충정로>시청>을지로입구>을지로3가>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번","6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선","6호선>2호선>3호선","21931","2232","2","24","21","21","0","23","False","31","59","42",,,,
"응암->녹번","alternative","응암","녹번","독바위","응암>새절>증산>디지털미디어시티>월드컵경기장>마포구청>망원>합정>상수>광흥창>대흥>공덕>효창공원앞>삼각지>녹사평>이태원>한강진>버티고개>약수>약수>동대입구>충무로>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광>불광>독바위>연신내>연신내>불광>녹번","6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>6호선>6호선>6호선>3호선>3호선>3호선","6호선>3호선","33011","3629","3","36","163","277","114","28","False","153","218","308","11080","1397","-142","False"
"응암->녹번","alternative","응암","녹번","불광","응암>새절>증산>디지털미디어시티>디지털미디어시티>수색>한국항공대>강매>행신>능곡>대곡>대곡>화정>원당>원흥>삼송>지축>구파발>연신내>불광>녹번","6호선>6호선>6호선>6호선>경의선>경의선>경의선>경의선>경의선>경의선>경의선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선","6호선>경의선>3호선","31466","2762","2","20","112","112","0","17","False","74","103","133","9535","530","-91","False"
"응암->녹번","alternative","응암","녹번","연신내","응암>새절>증산>디지털미디어시티>디지털미디어시티>수색>한국항공대>강매>행신>능곡>대곡>대곡>화정>원당>원흥>삼송>지축>구파발>연신내>불광>녹번","6호선>6호선>6호선>6호선>경의선>경의선>경의선>경의선>경의선>경의선>경의선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선","6호선>경의선>3호선","31466","2762","2","20","112","112","0","17","False","74","103","133","9535","530","-91","False"
"응암->독바위","baseline","응암","독바위",,"응암>새절>증산>디지털미디어시티>월드컵경기장>마포구청>망원>합정>합정>홍대입구>신촌>이대>아현>충정로>시청>을지로입구>을지로3가>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광>불광>독바위","6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>6호선>6호선","6호선>2호선>3호선","24031","2634","3","27","90","113","23","23","False","73","121","153",,,,
"응암->독바위","alternative","응암","독바위","연신내","응암>새절>증산>디지털미디어시티>디지털미디어시티>수색>한국항공대>강매>행신>능곡>대곡>대곡>화정>원당>원흥>삼송>지축>구파발>연신내>불광>불광>독바위","6호선>6호선>6호선>6호선>경의선>경의선>경의선>경의선>경의선>경의선>경의선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>6호선>6호선","6호선>경의선>3호선","31346","2883","3","21","155","178","23","17","False","85","106","178","7315","249","-65","False"
"응암->불광","baseline","응암","불광",,"응암>새절>증산>디지털미디어시티>월드컵경기장>마포구청>망원>합정>합정>홍대입구>신촌>이대>아현>충정로>시청>을지로입구>을지로3가>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광","6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선","6호선>2호선>3호선","23031","2322","2","25","44","44","0","23","False","50","84","90",,,,
"응암->불광","alternative","응암","불광","독바위","응암>새절>증산>디지털미디어시티>월드컵경기장>마포구청>망원>합정>상수>광흥창>대흥>공덕>효창공원앞>삼각지>녹사평>이태원>한강진>버티고개>약수>약수>동대입구>충무로>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광>불광>독바위>연신내>연신내>불광","6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>6호선>6호선>6호선>3호선>3호선","6호선>3호선","31911","3539","3","35","163","274","111","28","False","141","184","290","8880","1217","-119","False"
"응암->불광","alternative","응암","불광","연신내","응암>새절>증산>디지털미디어시티>디지털미디어시티>수색>한국항공대>강매>행신>능곡>대곡>대곡>화정>원당>원흥>삼송>지축>구파발>연신내>불광","6호선>6호선>6호선>6호선>경의선>경의선>경의선>경의선>경의선>경의선>경의선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선","6호선>경의선>3호선","30366","2672","2","19","109","109","0","17","False","62","69","115","7335","350","-65","False"
"응암->연신내","baseline","응암","연신내",,"응암>새절>증산>디지털미디어시티>월드컵경기장>마포구청>망원>합정>합정>홍대입구>신촌>이대>아현>충정로>시청>을지로입구>을지로3가>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광>연신내","6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선","6호선>2호선>3호선","24331","2412","2","26","112","112","0","23","False","74","103","133",,,,
"응암->연신내","alternative","응암","연신내","독바위","응암>새절>증산>디지털미디어시티>월드컵경기장>마포구청>망원>합정>합정>홍대입구>신촌>이대>아현>충정로>시청>을지로입구>을지로3가>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광>불광>독바위>연신내","6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>6호선>6호선>6호선","6호선>2호선>3호선","25431","2764","3","28","160","183","23","23","False","98","140","199","1100","352","-48","False"
